user_action,author,thread,length,where_read
kips,known,new,long,home
eads,unknown,new,short,work
kips,unknown,follow_up,long,work
kips,known,follow_up,long,home
eads,known,new,short,home
kips,known,follow_up,long,work
kips,unknown,follow_up,short,work
eads,unknown,new,short,work
kips,known,follow_up,long,home
skips,known,new,long,work
skips,unknown,follow_up,short,home
skips,known,new,long,work
reads,known,follow_up,short,home
reads,known,new,short,work
reads,known,new,short,home
reads,known,follow_up,short,work
reads,known,new,short,home
reads,unknown,new,short,work
